Machine,Category,Material Name (JP),Material Name (EN),Cutting Pressure,Multi-Cut,Blade Type,GSM,Surface Texture,Has Adhesive,Density (kg/m3),Shore Hardness A
Maker 3,Printable Materials,印刷可能な防水ステッカーセット（ホワイト）,Printable Waterproof Sticker Set (White),170.0,-,ファインポイントブレード,100.0,plain,1,900.0,25.0
Maker 3,Printable Materials,印刷可能な防水ステッカーセット（ホワイトホログラフィック）,Printable White Holographic Waterproof Sticker Set,180.0,-,ファインポイントブレード,100.0,holographic,1,945.0,33.0
Maker 3,Printable Materials,印刷可能な生地,Printable Fabric,189.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Maker 3,Printable Materials,印刷可能な防水ステッカーセット（透明ホログラフィック）,Printable Transparent Holographic Waterproof Sticker Set,220.0,-,ファインポイントブレード,100.0,holographic,1,945.0,33.0
Maker 3,Printable Materials,印刷可能な防水ステッカーセット（透明）,Printable Transparent Waterproof Sticker Set,225.0,-,ファインポイントブレード,100.0,plain,1,900.0,25.0
Maker 3,Printable Materials,印刷可能な磁気シート,Printable Magnetic Sheets,242.0,-,ファインポイントブレード,100.0,plain,0,3500.0,90.0
Maker 3,Printable Materials,印刷可能なステッカー紙、白（グレーライナー印刷）,Printable White Sticker Paper (Gray Liner Printing),265.0,-,ファインポイントブレード,100.0,plain,1,900.0,25.0
Maker 3,Printable Materials,印刷可能なステッカー紙、クリア（ライナー印刷なし）,Printable Clear Sticker Paper (No Liner Printing),270.0,-,ファインポイントブレード,100.0,plain,1,900.0,25.0
Maker 3,Printable Materials,印刷可能なホイル,Printable Foil,293.0,-,ファインポイントブレード,100.0,foil,0,945.0,35.0
Maker 3,Infusible Ink,インフュージブルインク 転写シート,Infusible ink transfer sheet,226.0,-,ファインポイントブレード,75.0,plain,0,800.0,20.0
Maker 3,Cardstock,カットアウェイカード+バッカー,Cutaway Cards + Backers,200.0,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Maker 3,Cardstock,カードストック（複雑なカット用）,Cardstock (for intricate cuts),200.0,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Maker 3,Cardstock,軽量カードストック（60lb/163gsm）,Lightweight Cardstock (60lb/163gsm),214.0,-,ファインポイントブレード,163.0,plain,0,800.0,30.0
Maker 3,Cardstock,グリッターカードストック,Glitter Cardstock,270.0,2倍,ファインポイントブレード,216.0,glitter,0,920.0,48.0
Maker 3,Cardstock,クラフトカードストック,Kraft Cardstock,275.0,-,ファインポイントブレード,216.0,plain,0,800.0,30.0
Maker 3,Cardstock,ホログラフィックカードストック,Holographic Cardstock,275.0,2倍,ファインポイントブレード,216.0,holographic,0,840.0,38.0
Maker 3,Cardstock,パターンドグリッターカードストック,Patterned Glitter Cardstock,299.0,2倍,ファインポイントブレード,216.0,glitter,0,920.0,48.0
Maker 3,Cardstock,接着剤裏地付きカードストック,Cardstock with Adhesive Backing,300.0,-,ファインポイントブレード,216.0,plain,1,800.0,30.0
Maker 3,Cardstock,厚手カードストック（100lb/270gsm）,Heavyweight Cardstock (100lb/270gsm),310.0,2倍,ファインポイントブレード,270.0,plain,0,800.0,30.0
Maker 3,Cardstock,中サイズのカードストック（80lb/216gsm）,Medium Cardstock (80lb/216gsm),320.0,-,ファインポイントブレード,216.0,plain,0,800.0,30.0
Maker 3,Paper,ライスペーパー,Rice Paper,70.0,-,ディープポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,和紙テープ（0.06mm）,Washi Tape (0.06mm),70.0,-,ファインポイントブレード,80.0,plain,0,750.0,10.0
Maker 3,Paper,ブッチャーペーパー,Butcher Paper,80.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,和紙,Washi Paper,85.0,-,ファインポイントブレード,80.0,plain,0,750.0,10.0
Maker 3,Paper,パーチメント紙,Parchment Paper,110.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,ラッピングペーパー,Wrapping Paper,120.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,コピー用紙（20lb/75gsm）,Copy Paper (20lb/75gsm),126.0,-,ファインポイントブレード,75.0,plain,0,750.0,15.0
Maker 3,Paper,コピー用紙（24lb/90gsm）,Copy Paper (24lb/90gsm),126.0,-,ファインポイントブレード,90.0,plain,0,750.0,15.0
Maker 3,Paper,コピー用紙（32lb/120gsm）,Copy Paper (32lb/120gsm),126.0,-,ファインポイントブレード,120.0,plain,0,750.0,15.0
Maker 3,Paper,レーザーコピー用紙,Laser Copy Paper,126.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,冷凍用紙,Freezer Paper,128.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,パールペーパー,Pearl Paper,138.0,2倍,ファインポイントブレード,80.0,shimmer,0,765.0,20.0
Maker 3,Paper,ライトパターンペーパー,Light Pattern Paper,152.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,ワックス紙,Wax Paper,160.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,建設用紙,Construction Paper,168.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,ノートブック用紙,Notebook Paper,191.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,キャリブレーションペーパー,Calibration Paper,192.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,スムースグリッターペーパー,Smooth Glitter Paper,175.0,2倍,ファインポイントブレード,80.0,glitter,0,840.0,31.0
Maker 3,Paper,接着剤裏地紙,Adhesive-Backed Paper,240.0,-,ファインポイントブレード,80.0,plain,1,750.0,15.0
Maker 3,Paper,デラックスペーパー,Deluxe Paper,270.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,デラックスペーパー、接着剤付き,Deluxe Paper with Adhesive,270.0,-,ファインポイントブレード,80.0,plain,1,750.0,15.0
Maker 3,Paper,ホイル紙（0.36mm）,Foil Paper (0.36mm),274.0,2倍,ファインポイントブレード,80.0,foil,0,787.5,25.0
Maker 3,Paper,厚手の柄紙,Heavy Patterned Paper,275.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,スパークルペーパー,Sparkle Paper,285.0,2倍,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,フロック紙,Flock Paper,299.0,3倍,ファインポイントブレード,80.0,flock,0,787.5,29.0
Maker 3,Paper,デラックスペーパーホイルエンボス加工,Deluxe Foil Embossed Paper,300.0,-,ファインポイントブレード,80.0,foil,0,787.5,25.0
Maker 3,Plastic,ホイルアセテート,Foil Acetate,321.0,2倍,ファインポイントブレード,150.0,foil,0,1365.0,85.0
Maker 3,Paper,トゥルーブラッシュドペーパー,True Brushed Paper,330.0,2倍,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Paper,シマーペーパー,Shimmer Paper,345.0,2倍,ファインポイントブレード,80.0,shimmer,0,772.5,21.0
Maker 3,Paper,ヘビーウォーターカラーペーパー（140lb/300gsm）,Heavy Watercolor Paper (140lb/300gsm),345.0,-,ファインポイントブレード,300.0,plain,0,750.0,15.0
Maker 3,Paper,写真用紙,Photo Paper,345.0,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Maker 3,Plastic,アセテート,Acetate,280.0,2倍,ファインポイントブレード,150.0,plain,0,1300.0,75.0
Maker 3,Smart Materials,スマートビニール（取り外し可能）,Smart Vinyl (Removable),106.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Smart Materials,スマートビニール（パーマネント）,Smart Vinyl (Permanent),120.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Smart Materials,スマートビニール（マットメタリック）,Smart Vinyl (Matte Metallic),134.0,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Maker 3,Smart Materials,スマートビニール（シマー）,Smart Vinyl (Shimmer),154.0,-,ファインポイントブレード,120.0,shimmer,0,1339.0,71.0
Maker 3,Smart Materials,スマートアイロン接着タイプ,Smart Iron-On,156.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Smart Materials,スマートアイロン接着タイプ（ホログラフィック）,Smart Iron-On (Holographic),156.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Smart Materials,スマートアイロン接着タイプ（グリッター）,Smart Iron-On (Glitter),163.0,-,ファインポイントブレード,120.0,glitter,0,1456.0,81.0
Maker 3,Smart Materials,スマートペーパーステッカー（カードストック）,Smart Paper Stickers (Cardstock),310.0,-,ファインポイントブレード,120.0,plain,1,1300.0,65.0
Maker 3,Vinyl,グリッタービニール,Glitter Vinyl,85.0,-,ファインポイントブレード,120.0,glitter,0,1495.0,83.0
Maker 3,Vinyl,プレミアムビニール（（ホログラフィック3Dテクスチャ））,Premium Vinyl (Holographic 3D Texture),108.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,接着箔,Adhesive Foil,108.0,-,ファインポイントブレード,120.0,foil,1,1365.0,75.0
Maker 3,Vinyl,ステンシルビニール,Stencil Vinyl,109.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,プレミアムビニール（（ホログラフィック））,Premium Vinyl (Holographic),110.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,プレミアムビニール（ホログラフィックローズバブル）,Premium Vinyl (Holographic Rose Bubble),115.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,プレミアムビニール（（フロステッド不透明））,Premium Vinyl (Frosted Opaque),115.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,プレミアムアウトドアビニール,Premium Outdoor Vinyl,118.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,ホワイトボード用ビニール（ドライイレース）,Whiteboard Vinyl (Dry Erase),119.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,プレミアムビニール（（永久光沢））,Premium Vinyl (Permanent Gloss),120.0,-,ファインポイントブレード,120.0,glossy,0,1326.0,69.0
Maker 3,Vinyl,プレミアムビニール（（取り外し可能なマット））,Premium Vinyl (Removable Matte),121.0,-,ファインポイントブレード,120.0,matte,0,1274.0,67.0
Maker 3,Vinyl,マットビニール,Matte Vinyl,121.0,-,ファインポイントブレード,120.0,matte,0,1274.0,67.0
Maker 3,Vinyl,ビニール,Vinyl,126.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,プレミアムビニール（ホログラフィックバブル）,Premium Vinyl (Holographic Bubble),128.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,プレミアムビニール（（フロステッドグレー））,Premium Vinyl (Frosted Gray),131.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,メタリックビニール,Metallic Vinyl,134.0,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Maker 3,Vinyl,プレミアムビニール（（ホログラフィックアールデコ））,Premium Vinyl (Holographic Art Deco),138.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,プレミアムビニール（（ホログラフィックスレッド））,Premium Vinyl (Holographic Thread),138.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,プレミアムビニール（（トゥルーブラッシュド））,Premium Vinyl (True Brushed),140.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,プレミアムビニール（（モザイク））,Premium Vinyl (Mosaic),146.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,プレミアムビニール（（シマー））,Premium Vinyl (Shimmer),148.0,-,ファインポイントブレード,120.0,shimmer,0,1339.0,71.0
Maker 3,Vinyl,プレミアムビニール（（フロステッドグリッター））,Premium Vinyl (Frosted Glitter),148.0,-,ファインポイントブレード,120.0,glitter,0,1456.0,81.0
Maker 3,Vinyl,粘着箔、マット,"Adhesive Foil, Matte",155.0,-,ファインポイントブレード,120.0,foil,1,1365.0,75.0
Maker 3,Vinyl,プレミアムビニール（（パール））,Premium Vinyl (Pearl),156.0,-,ファインポイントブレード,120.0,shimmer,0,1326.0,70.0
Maker 3,Vinyl,プレミアムビニール（ホログラフィッククリスタル）,Premium Vinyl (Holographic Crystal),160.0,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Maker 3,Vinyl,プレミアムビニール（（テクスチャメタリック））,Premium Vinyl (Textured Metallic),166.0,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Maker 3,Vinyl,プレミアムビニール（（テクスチャード））,Premium Vinyl (Textured),166.0,-,ファインポイントブレード,120.0,textured,0,1365.0,73.0
Maker 3,Vinyl,黒板ビニール,Chalkboard Vinyl,210.0,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Maker 3,Vinyl,非接着ビニール（16ゲージ）,Non-Adhesive Vinyl (16 Gauge),270.0,-,ファインポイントブレード,120.0,plain,1,1300.0,65.0
Maker 3,Vinyl,非接着ビニール（20ゲージ）,Non-Adhesive Vinyl (20 Gauge),300.0,2倍,ファインポイントブレード,120.0,plain,1,1300.0,65.0
Maker 3,Leather,薄型ガーメントレザー（2〜3オンス/0.8〜1.3mm）,Thin Garment Leather (2-3 oz. / 0.8-1.3 mm),180.0,3倍,ディープポイントブレード,1170.0,plain,0,900.0,58.0
Maker 3,Leather,ミディアムガーメントレザー（4〜5オンス/1.6mm）,Medium Garment Leather (4-5 oz. / 1.6 mm),200.0,6倍,ディープポイントブレード,1440.0,plain,0,900.0,61.0
Maker 3,Leather,フェイクレザー（ペーパーシン）,Faux Leather (Paper Thin),215.0,2倍,ファインポイントブレード,1440.0,plain,0,900.0,55.0
Maker 3,Leather,フェイクスエード,Faux Suede,250.0,-,ファインポイントブレード,1440.0,plain,0,900.0,55.0
Maker 3,Leather,本革,Genuine Leather,270.0,2倍,ディープポイントブレード,1440.0,plain,0,900.0,55.0
Maker 3,Leather,ツーリングレザー（2〜3オンス/0.8mm）,Touring Leather (2-3 oz. / 0.8 mm),287.0,3倍,ディープポイントブレード,720.0,plain,0,900.0,53.0
Maker 3,Leather,シマーレザー（1mm）,Shimmer Leather (1 mm),325.0,3倍,ファインポイントブレード,900.0,shimmer,0,927.0,61.0
Maker 3,Leather,メタリックレザー,Metallic Leather,335.0,4倍,ディープポイントブレード,1440.0,metallic,0,945.0,65.0
Maker 3,Leather,ツーリングレザー（4 -5オンス/1.6mm）,Touring Leather (4-5 oz. / 1.6 mm),345.0,7倍,ディープポイントブレード,1440.0,plain,0,900.0,61.0
Maker 3,Leather,ツーリングレザー（6 -7 oz ./2.4mm）,Touring Leather (6-7 oz. / 2.4 mm),450.0,16倍,ナイフの刃,2160.0,plain,0,900.0,69.0
Maker 3,Board/Cardboard,バルサ（1/16インチ/1.6mm）,Balsa (1/16 inch/1.6mm),200.0,4倍,ナイフの刃,1360.0,plain,0,150.0,74.0
Maker 3,Board/Cardboard,シリアルボックス,Cereal Box,270.0,2倍,ディープポイントブレード,850.0,plain,0,850.0,65.0
Maker 3,Board/Cardboard,軽チップボード（0.37mm）,Light Chipboard (0.37mm),285.0,2倍,ファインポイントブレード,314.5,plain,0,850.0,55.5
Maker 3,Board/Cardboard,ポスターボード,Poster Board,287.0,2倍,ファインポイントブレード,850.0,plain,0,850.0,65.0
Maker 3,Board/Cardboard,バルサ（3/32インチ/2.4mm）,Balsa (3/32 inch/2.4mm),300.0,7倍,ナイフの刃,2040.0,plain,0,150.0,86.0
Maker 3,Board/Cardboard,フラットダンボール,Flat Cardboard,300.0,-,ファインポイントブレード,850.0,plain,0,850.0,65.0
Maker 3,Board/Cardboard,段ボール,Corrugated Cardboard,315.0,-,ファインポイントブレード,850.0,plain,0,850.0,55.0
Maker 3,Board/Cardboard,クラフトボード,Kraft Board,325.0,2倍,ファインポイントブレード,850.0,plain,0,900.0,65.0
Maker 3,Board/Cardboard,段ボール紙,Corrugated Paper,329.0,-,ディープポイントブレード,850.0,plain,0,850.0,55.0
Maker 3,Board/Cardboard,ホイルポスターボード,Foil Poster Board,330.0,-,ファインポイントブレード,850.0,foil,0,892.5,75.0
Maker 3,Board/Cardboard,メタリックポスターボード,Metallic Poster Board,330.0,2倍,ファインポイントブレード,850.0,metallic,0,892.5,75.0
Maker 3,Board/Cardboard,ホイルクラフトボード（ホログラフィック）,Foil Kraft Board (Holographic),340.0,2倍,ファインポイントブレード,850.0,foil,0,945.0,75.0
Maker 3,Board/Cardboard,マットボード（1.5mm）,Matte Board (1.5mm),350.0,6倍,ディープポイントブレード,1275.0,matte,0,833.0,74.5
Maker 3,Board/Cardboard,バスウッド（1/32インチ/0.8mm）,Basswood (1/32 inch/0.8mm),381.0,18倍,ナイフの刃,680.0,plain,0,400.0,62.0
Maker 3,Board/Cardboard,チップボード（1.5mm）,Chipboard (1.5mm),500.0,12倍,ナイフの刃,1275.0,plain,0,850.0,72.5
Maker 3,Board/Cardboard,ヘビーチップボード（2.0mm）,Heavy Chipboard (2.0mm),650.0,24倍,ナイフの刃,1700.0,plain,0,850.0,80.0
Maker 3,Board/Cardboard,アート／イラストボード,Art/Illustration Board,750.0,17倍,ナイフの刃,850.0,plain,0,850.0,65.0
Maker 3,Board/Cardboard,バスウッド（1/16インチ/1.6mm）,Basswood (1/16 inch/1.6mm),750.0,14倍,ナイフの刃,1360.0,plain,0,400.0,74.0
Maker 3,Fabric,シルク、接着,"Silk, bonded",175.0,-,ファインポイントブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ポリエステル、接着,"Polyester, bonded",285.0,-,ファインポイントブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ヘビーファブリック（デニムなど）、ボンディング,"Heavy fabrics (e.g., denim), bonded",340.0,3倍,ボンデッドファブリックブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,モアリー,Moiré,600.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,シフォン,Chiffon,684.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ナイロン,Nylon,700.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,チュール,Tulle,750.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,繊細な生地（チュールなど）,"Delicate fabrics (e.g., tulle)",750.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,繊細な生地（チュールなど）、接着,"Delicate fabrics (e.g., tulle), bonded",850.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ビスコース,Viscose,925.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,クレープ紙,Crepe paper,950.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ラメ,Lamé,981.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ラ・コスト,La Coste,1100.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ジョーゼット,Georgette,1143.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ウールクレープ,Wool crepe,1174.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,チャリス,Chalice,1200.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,オーガンザ,Organza,1250.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ヘザー,Heather,1250.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ライクラ,Lycra,1250.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ティッシュペーパー,Tissue paper,1300.0,-,ロータリーブレード,150.0,plain,0,280.0,8.0
Maker 3,Fabric,軽い生地（シルクのような）、接着,"Lightweight fabrics (like silk), bonded",1300.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ドット付きスイス料理,Dotted Swiss dish,1339.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ガーゼ,Gauze,1369.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,フーラード,Foulard,1375.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,メッシュ,Mesh,1385.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,リネン、接着,"Linen, bonded",225.0,-,ファインポイントブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,可溶インターフェース,Fusible interfacing,1400.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,タフェッタ,Taffeta,1405.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,バーンアウトベルベット,Burnout velvet,1410.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,レーヨン・リョセル,Rayon/Lyocell,1415.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,カシミア,Cashmere,1423.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,パンヌベルベット,Panne velvet,1425.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,オイルクロス,Oilcloth,1433.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ツイード,Tweed,1495.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ゴッサマー,Gossamer,1500.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,バンブーファブリック,Bamboo fabric,1500.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,プリッセ,Plissé,1500.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ミディアムファブリック（コットンなど）、ボンディング,"Medium fabric (cotton, etc.), bonded",1500.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ジャージー,Jersey,1520.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,リップストップナイロン,Ripstop nylon,1549.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ぬいぐるみ,Plush,1550.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ポー・ド・ソワ,Peau de soie,1550.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,リブニット,Rib knit,1585.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,モスリン,Muslin,1595.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,カリコ,Calico,1600.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,チンツ,Chintz,1600.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ポリエステル,Polyester,1600.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,マルベリーペーパー,Mulberry paper,1600.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,山東省,Shandong Province,1600.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,アイレット,Eyelet,1619.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,シルクチャイナ,Silk China,1640.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ダブルクロス,Double cloth,1650.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
Maker 3,Fabric,ハブタイ,Habtai,1650.0,-,ロータリーブレード,150.0,plain,0,280.0,10.0
