,,,,,,
,,,,,,
,,,,,,
,,プレミアムビニール（（ホログラフィックアールデコ））,Premium Vinyl (Holographic Art Deco),121,-,ファインポイント
,,プレミアムビニール（（ホログラフィックスレッド））,Premium Vinyl (Holographic Thread),121,-,ファインポイント
,,ホログラフィックスパークルビニール,Holographic Sparkle Vinyl,121,-,ファインポイント
,,接着箔,Adhesive Foil,121,-,ファインポイント
,,プレミアムビニール（（テクスチャード））,Premium Vinyl (Textured),123,-,ファインポイント
,,プレミアムビニール（（ホログラフィック3Dテクスチャ））,Premium Vinyl (Holographic 3D Texture),123,-,ファインポイント
,,プレミアムビニール（（トゥルーブラッシュド））,Premium Vinyl (True Brushed),124,-,ファインポイント
,,プレミアムビニール（（モザイク））,Premium Vinyl (Mosaic),124,-,ファインポイント
,,プレミアムビニール（（フロステッドグレー））,Premium Vinyl (Frosted Gray),126,-,ファインポイント
,,ステンシルビニール,Stencil Vinyl,127,-,ファインポイント
,,ホワイトボード用ビニール（ドライイレース）,Whiteboard Vinyl (Dry Erase),131,-,ファインポイント
,,プレミアムビニール（（テクスチャメタリック））,Premium Vinyl (Textured Metallic),132,-,ファインポイント
,,ホログラフィックビニール,Holographic Vinyl,137,-,ファインポイント
,,プレミアムビニール,Premium Vinyl,139,-,ファインポイント
,,プレミアムビニール（（フロステッド不透明））,Premium Vinyl (Frosted Opaque),151,-,ファインポイント
,,温度で色が変わるビニール（ヒート/コールド）,Temperature Color Changing Vinyl (Heat/Cold),152,-,ファインポイント
,,プレミアムビニール（（パール））,Premium Vinyl (Pearl),158,-,ファインポイント
,,プレミアムビニール（（フロステッドグリッター））,Premium Vinyl (Frosted Glitter),158,-,ファインポイント
,,暗闇で光るビニール,Glow-in-the-Dark Vinyl,160,2倍,ファインポイント
,,黒板ビニール,Chalkboard Vinyl,206,-,ファインポイント
,,,,,,
,,ボード・ダンボール (Board/Cardboard - 3素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,フラットダンボール,Flat cardboard,226,-,ファインポイント
,,ホイルポスターボード,Foil poster board,257,-,ファインポイント
,,段ボール,Corrugated cardboard,286,-,ファインポイント
,,,,,,
,,レザー (Leather - 1素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,フェイクレザー（ペーパーシン）,Faux leather (paper thin),251,2倍,ファインポイント
,,,,,,
,,その他 (Others - 3素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,ウィンドウクライング,Window Crying,120,-,ファインポイント
,,水彩カード,Watercolor Cards,230,2倍,ファインポイント
,,パーティーホイル,Party Foil,269,-,ファインポイント
,,,,,,
,,ペン・マーカー (Pens & Markers - 6素材),,,,
,,素材名 ,English ,,,
,,グリッタージェルペン,Glitter Gel Pen,,,
,,ジェルペン,Gel Pen,,,
,,不透明ゲルペン,Opaque Gel Pen,,,
,,メタリックマーカー,Metallic Marker,,,
,,水性ペン,Water-based Pen,,,
,,極細ペン,Extra Fine Point Pen,,,
