,,,,,,
,,,,,,
,,,,,,
,,プレミアムビニール（フロステッド加工不透明）,Premium Vinyl (Frosted Opaque),115,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィックローズバブル）,Premium Vinyl (Holographic Rose Bubble),115,-,ファインポイントブレード
,,プレミアムビニール（（永久光沢））,Premium Vinyl (Permanent Gloss),115,-,ファインポイントブレード
,,プレミアムアウトドアビニール,Premium Outdoor Vinyl,118,-,ファインポイントブレード
,,プレミアムビニール（（取り外し可能なマット））,Premium Vinyl (Removable Matte),121,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィックバブル）,Premium Vinyl (Holographic Bubble),128,-,ファインポイントブレード
,,プレミアムビニール（フロステッドグレー）,Premium Vinyl (Frosted Gray),131,-,ファインポイントブレード
,,プレミアムビニール（モザイク）,Premium Vinyl (Mosaic),136,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィックアールデコ）,Premium Vinyl (Holographic Art Deco),138,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィックスレッド）,Premium Vinyl (Holographic Thread),138,-,ファインポイントブレード
,,ホログラフィックスパークルビニール,Holographic Sparkle Vinyl,139,-,ファインポイントブレード
,,プレミアムビニール（トゥルーブラッシュド）,Premium Vinyl (True Brushed),140,-,ファインポイントブレード
,,プレミアムビニール（パール）,Premium Vinyl (Pearl),146,-,ファインポイントブレード
,,プレミアムビニール（シマー）,Premium Vinyl (Shimmer),148,-,ファインポイントブレード
,,プレミアムビニール（フロステッドグリッター）,Premium Vinyl (Frosted Glitter),148,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィッククリスタル）,Premium Vinyl (Holographic Crystal),160,-,ファインポイントブレード
,,プレミアムビニール（テクスチャメタリック）,Premium Vinyl (Textured Metallic),166,-,ファインポイントブレード
,,プレミアムビニール（テクスチャード）,Premium Vinyl (Textured),166,-,ファインポイントブレード
,,粘着箔、マット,"Adhesive Foil, Matte",170,-,ファインポイントブレード
,,黒板ビニール,Chalkboard Vinyl,190,-,ファインポイントブレード
,,,,,,
,,ボード・ダンボール (Board/Cardboard - 8素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,フラットダンボール,Flat cardboard,300,-,ファインポイントブレード
,,クラフトボード,Kraft board,320,2倍,ファインポイントブレード
,,段ボール,Corrugated cardboard,325,-,ファインポイントブレード
,,軽チップボード（0.37mm）,Light chipboard (0.37mm),327,2倍,ファインポイントブレード
,,メタリックポスターボード,Metallic poster board,330,2倍,ファインポイントブレード
,,ホイルクラフトボード（ホログラフィック）,Foil kraft board (holographic),340,2倍,ファインポイントブレード
,,ホイルポスターボード,Foil poster board,340,-,ファインポイントブレード
,,マットボード（1.5mm）,Matte board (1.5mm),350,5倍,ディープポイントブレード
,,,,,,
,,レザー (Leather - 5素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,フェイクレザー（ペーパーシン）,Faux Leather (Paper Thin),215,2倍,ファインポイントブレード
,,フェイクスエード,Faux Suede,250,-,ファインポイントブレード
,,メタリックレザー,Metallic Leather,255,4倍,ディープポイントブレード
,,本革,Genuine Leather,255,2倍,ディープポイントブレード
,,シマーレザー（1mm）,Shimmer Leather (1mm),325,3倍,ファインポイントブレード
,,,,,,
,,,,,,
,,その他 (Others - 22素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,アルミ箔,Aluminum Foil,70,2倍,ディープポイントブレード
,,ウィンドウクライング,Window Clinging,100,-,ファインポイントブレード
,,フレキシブルステンシルフィルム,Flexible Stencil Film,110,-,ファインポイントブレード
,,ダクトテープシート,Duct Tape Sheets,122,-,ファインポイントブレード
,,EVAフォーム,EVA Foam,145,-,ディープポイントブレード
,,付箋,Sticky Notes,175,-,ファインポイントブレード
,,クラフトフォーム,Craft Foam,180,-,ディープポイントブレード
,,グリッタークラフトフォーム,Glitter Craft Foam,180,-,ディープポイントブレード
,,ヴェラム,Vellum,200,-,ファインポイントブレード
,,食品・雑貨バッグ,Grocery Bags,200,-,ファインポイントブレード
,,フュージブルファブリック,Fusible Fabric,220,-,ファインポイントブレード
,,パーティーホイル,Party Foil,275,-,ファインポイントブレード
,,マイラー,Mylar,292,-,ファインポイントブレード
,,ステンシルフィルム（0.4mm）,Stencil Film (0.4mm),300,-,ファインポイントブレード
,,磁気シート（0.5mm）,Magnetic Sheet (0.5mm),300,4倍,ディープポイントブレード
,,透明性,Transparency,308,-,ファインポイントブレード
,,カッティングマットプロテクター,Cutting Mat Protector,310,-,ファインポイントブレード
,,塗料チップ,Paint Chips,310,-,ファインポイントブレード
,,天然木ベニヤ,Natural Wood Veneer,320,3倍,ディープポイントブレード
,,フェルト、ウール生地,Felt and Wool Fabric,328,6倍,ファインポイントブレード
,,フェルト、ウールボンディング,Felt and Wool Bonding,331,2倍,ファインポイントブレード
,,磁気シート（1.0mm）,Magnetic Sheet (1.0mm),350,8倍,ディープポイントブレード
